StateCode,DateTime,PowerStationName,NonSchedule,Schedule,ChartShowingScheduleValue,ChartShowingNonScheduleValue,TypeOfGeneration,fetched_at
DL,2021-06-01,DELHI SOLID WASTE TO ENERGY PLANT,,,,,Renewable,2024-03-15 16:58:22
DL,2021-06-01,TIMAPUR OKHLA WASTE TO ENERGY PLANT,,,,,Renewable,2024-03-15 16:58:22
DL,2021-06-01,EAST DELHI WAST TO ENERGY PLANT,,,,,Renewable,2024-03-15 16:58:22
DL,2021-06-01,SALAL HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,BAIRASIUL HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,URI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,CHAMERA-II HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,CHAMERA HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,NATHPA JHAKRI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,DHAULIGANGA HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,PARBATI-III,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,TANAKPUR HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,CHAMERA-III HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,TEHRI HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,TALA,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,URI-II HEP,,,,,Hydro,2024-03-15 16:58:22
DL,2021-06-01,KOTESHWAR,,,,,Hydro,2024-03-15 16:58:22
