Region,Date,Monitored CAP in MW,Generation / Today's Program,Generation / Today's Actual,Generation / FY YTD Program,Generation / FY YTD Actual,Coal Stock in Days,CAP under outage,Outage Date,Expected Date / Sync Date,Remarks
WESTERN,2023-11-22,106374.48999999999,1483.4600000000005,1558.5000000000002,340593.58999999997,360581.71,,25823.89,,,
SOUTHERN,2023-11-22,66206.945,772.83,774.1199999999997,196791.94000000006,185306.93999999986,,21471.204,,,
EASTERN,2023-11-22,43157.46,675.3800000000008,747.0100000000002,179275.38,174984.10999999993,,5590.2,,,
NORTH EASTERN,2023-11-22,4477.955,72.64000000000001,53.29,20513.58999999999,14982.100000000006,,262.665,,,
BHUTAN IMP.,2023-11-22,0,22.759999999999998,3.54,5896.719999999999,4887.91,,0,,,
NORTHERN,2023-11-23,73176.23000000001,889.150000000001,851.7499999999999,262819.98000000004,251750.44000000015,,19949.959999999985,,,
WESTERN,2023-11-23,106374.48999999999,1484.8500000000006,1569.2200000000007,342078.4400000001,362150.9299999999,,27218.89,,,
SOUTHERN,2023-11-23,66206.945,772.83,766.6499999999996,197564.76999999996,186073.59000000008,,21756.704,,,
EASTERN,2023-11-23,43157.46,664.8800000000008,739.48,179940.26,175723.58999999994,,6367,,,
NORTH EASTERN,2023-11-23,4477.955,72.64000000000001,52.92,20586.23,15035.020000000002,,337.665,,,
BHUTAN IMP.,2023-11-23,0,22.759999999999998,3.5,5919.48,4891.41,,0,,,
NORTHERN,2023-11-24,73176.23000000001,889.150000000001,828.4399999999999,263709.1299999999,252578.88000000027,,19051.959999999985,,,
WESTERN,2023-11-24,106374.48999999999,1487.5200000000004,1522.8400000000013,343565.9599999999,363673.7699999998,,27083.89,,,
SOUTHERN,2023-11-24,66206.945,772.83,761.8899999999999,198337.59999999998,186835.48000000007,,20108.204,,,
EASTERN,2023-11-24,43157.46,664.8800000000008,731.3399999999998,180605.13999999987,176454.9299999999,,5572.7,,,
NORTH EASTERN,2023-11-24,4477.955,72.64000000000001,51.339999999999996,20658.86999999999,15086.360000000004,,262.665,,,
BHUTAN IMP.,2023-11-24,0,22.759999999999998,3.8,5942.24,4895.209999999999,,0,,,
NORTHERN,2023-11-25,73176.23000000001,910.910000000001,801.5100000000002,264620.04,253380.39000000016,,19561.959999999985,,,
WESTERN,2023-11-25,106374.48999999999,1487.5200000000004,1513.3000000000002,345053.48,365187.0699999996,,24743.89,,,
SOUTHERN,2023-11-25,66206.945,772.83,723.7199999999998,199110.43,187559.2,,21289.004,,,
EASTERN,2023-11-25,43157.46,664.8800000000008,697.1999999999998,181270.02000000002,177152.12999999998,,5912.7,,,
NORTH EASTERN,2023-11-25,4477.955,72.64000000000001,51.67,20731.51,15138.029999999999,,255.465,,,
BHUTAN IMP.,2023-11-25,0,22.759999999999998,3.62,5965,4898.83,,0,,,
NORTHERN,2023-11-26,73176.23000000001,913.110000000001,769.8999999999997,265533.1500000002,254150.29000000004,,20621.959999999985,,,
WESTERN,2023-11-26,106374.48999999999,1483.0800000000006,1432.1499999999994,346536.5600000002,366619.2200000001,,26199.39,,,
SOUTHERN,2023-11-26,66206.945,778.6300000000001,645.5199999999995,199889.06000000003,188204.7199999999,,23261.503999999997,,,
EASTERN,2023-11-26,43157.46,693.8800000000008,661.9000000000002,181963.90000000005,177814.02999999994,,5262.7,,,
NORTH EASTERN,2023-11-26,4477.955,72.64000000000001,48.02,20804.15,15186.049999999996,,255.465,,,
BHUTAN IMP.,2023-11-26,0,22.759999999999998,3.68,5987.76,4902.51,,0,,,
NORTHERN,2023-11-27,73176.23000000001,897.5300000000011,732.9799999999998,266430.68000000017,254883.27000000022,,22571.45999999998,,,
WESTERN,2023-11-27,106374.48999999999,1483.0800000000006,1384.0499999999993,348019.6399999999,368003.27000000025,,27441.89,,,
SOUTHERN,2023-11-27,66206.945,778.6300000000001,676.5300000000003,200667.69000000003,188881.24999999994,,23054.804,,,
EASTERN,2023-11-27,43157.46,693.8800000000008,682.9799999999997,182657.78000000006,178497.00999999978,,5842.7,,,
NORTH EASTERN,2023-11-27,4477.955,72.64000000000001,48.61999999999999,20876.78999999999,15234.669999999996,,388.08,,,
BHUTAN IMP.,2023-11-27,0,22.759999999999998,3.76,6010.5199999999995,4906.27,,0,,,
NORTHERN,2023-11-28,73176.23000000001,897.5300000000011,724.6399999999996,267328.2100000001,255607.91000000027,,22470.359999999982,,,
WESTERN,2023-11-28,106374.48999999999,1483.0800000000006,1401.5800000000006,349502.72,369404.85000000003,,26755.89,,,
SOUTHERN,2023-11-28,66206.945,791.6300000000001,696.4699999999999,201459.32000000004,189577.72,,21567.854,,,
EASTERN,2023-11-28,43157.46,693.8800000000008,690.0999999999997,183351.65999999995,179187.10999999996,,5280.2,,,
NORTH EASTERN,2023-11-28,4477.955,72.64000000000001,48.34,20949.429999999986,15283.009999999997,,421.58,,,
BHUTAN IMP.,2023-11-28,0,22.759999999999998,3.33,6033.28,4909.6,,0,,,
NORTHERN,2023-11-29,73176.23000000001,912.0300000000011,752.7399999999998,268240.24,256360.65000000029,,22299.859999999982,,,
